fecha	incidentes
2022-01-01	2261
2022-01-02	1113
2022-01-03	1346
2022-01-04	1412
2022-01-05	1318
2022-01-06	1201
2022-01-07	1297
2022-01-08	1393
2022-01-09	1375
2022-01-10	1187
2022-01-11	1433
2022-01-12	1423
2022-01-13	1359
2022-01-14	1474
2022-01-15	1510
2022-01-16	1757
2022-01-17	1512
2022-01-18	1377
2022-01-19	1414
2022-01-20	1489
2022-01-21	1328
2022-01-22	1567
2022-01-23	1595
2022-01-24	1507
2022-01-25	1489
2022-01-26	1507
2022-01-27	1396
2022-01-28	1559
2022-01-29	1749
2022-01-30	1712
2022-01-31	1490
2022-02-01	1416
2022-02-02	1448
2022-02-03	1429
2022-02-04	1476
2022-02-05	1520
2022-02-06	1688
2022-02-07	1311
2022-02-08	1266
2022-02-09	1423
2022-02-10	1467
2022-02-11	1490
2022-02-12	1602
2022-02-13	1627
2022-02-14	1319
2022-02-15	1367
2022-02-16	1473
2022-02-17	1416
2022-02-18	1548
2022-02-19	1812
2022-02-20	1636
2022-02-21	1521
2022-02-22	1537
2022-02-23	1435
2022-02-24	1534
2022-02-25	1528
2022-02-26	1615
2022-02-27	1617
2022-02-28	1433
2022-03-01	1655
2022-03-02	1519
2022-03-03	1535
2022-03-04	1471
2022-03-05	1868
2022-03-06	1401
2022-03-07	1431
2022-03-08	1761
2022-03-09	1678
2022-03-10	1490
2022-03-11	1674
2022-03-12	1612
2022-03-13	1349
2022-03-14	1546
2022-03-15	1690
2022-03-16	1594
2022-03-17	1760
2022-03-18	1724
2022-03-19	1735
2022-03-20	1967
2022-03-21	1342
2022-03-22	1442
2022-03-23	1391
2022-03-24	1403
2022-03-25	1653
2022-03-26	1637
2022-03-27	1682
2022-03-28	1627
2022-03-29	1529
2022-03-30	1468
2022-03-31	1539
2022-04-01	1841
2022-04-02	1849
2022-04-03	1874
2022-04-04	1746
2022-04-05	1678
2022-04-06	1647
2022-04-07	1676
2022-04-08	1697
2022-04-09	1819
2022-04-10	1882
2022-04-11	1248
2022-04-12	1319
2022-04-13	1245
2022-04-14	1274
2022-04-15	935
2022-04-16	1187
2022-04-17	1165
2022-04-18	1449
2022-04-19	1377
2022-04-20	1135
2022-04-21	1709
2022-04-22	1758
2022-04-23	1513
2022-04-24	1744
2022-04-25	1450
2022-04-26	1495
2022-04-27	1530
2022-04-28	1505
2022-04-29	1593
2022-04-30	1766
2022-05-01	2046
2022-05-02	1686
2022-05-03	1573
2022-05-04	1759
2022-05-05	1497
2022-05-06	1740
2022-05-07	1714
2022-05-08	1892
2022-05-09	1571
2022-05-10	1486
2022-05-11	1553
2022-05-12	1668
2022-05-13	1892
2022-05-14	1836
2022-05-15	1834
2022-05-16	1763
2022-05-17	1533
2022-05-18	1553
2022-05-19	1687
2022-05-20	1825
2022-05-21	2002
2022-05-22	2004
2022-05-23	1662
2022-05-24	1812
2022-05-25	1557
2022-05-26	1643
2022-05-27	1700
2022-05-28	1869
2022-05-29	1536
2022-05-30	1343
2022-05-31	1734
2022-06-01	1949
2022-06-02	1653
2022-06-03	1637
2022-06-04	1695
2022-06-05	2007
2022-06-06	1824
2022-06-07	1555
2022-06-08	1490
2022-06-09	1571
2022-06-10	1873
2022-06-11	1793
2022-06-12	1890
2022-06-13	1609
2022-06-14	1402
2022-06-15	1719
2022-06-16	1733
2022-06-17	1710
2022-06-18	1839
2022-06-19	1751
2022-06-20	1460
2022-06-21	1616
2022-06-22	1539
2022-06-23	1224
2022-06-24	1518
2022-06-25	1807
2022-06-26	1704
2022-06-27	1362
2022-06-28	1442
2022-06-29	1383
2022-06-30	1365
2022-07-01	1637
2022-07-02	1670
2022-07-03	1818
2022-07-04	1287
2022-07-05	1578
2022-07-06	1543
2022-07-07	1441
2022-07-08	1409
2022-07-09	1845
2022-07-10	1754
2022-07-11	1608
2022-07-12	1655
2022-07-13	1692
2022-07-14	1557
2022-07-15	1807
2022-07-16	1965
2022-07-17	1972
2022-07-18	1713
2022-07-19	1631
2022-07-20	1592
2022-07-21	1453
2022-07-22	1551
2022-07-23	1743
2022-07-24	1880
2022-07-25	1564
2022-07-26	1476
2022-07-27	1708
2022-07-28	1510
2022-07-29	1717
2022-07-30	1886
2022-07-31	2124
2022-08-01	1781
2022-08-02	1690
2022-08-03	1671
2022-08-04	1716
2022-08-05	1747
2022-08-06	1844
2022-08-07	1910
2022-08-08	1710
2022-08-09	1573
2022-08-10	1562
2022-08-11	1515
2022-08-12	1808
2022-08-13	1615
2022-08-14	1814
2022-08-15	1456
2022-08-16	1738
2022-08-17	1545
2022-08-18	1838
2022-08-19	1847
2022-08-20	1757
2022-08-21	1901
2022-08-22	1709
2022-08-23	1590
2022-08-24	1682
2022-08-25	1808
2022-08-26	1699
2022-08-27	1850
2022-08-28	2041
2022-08-29	1781
2022-08-30	1663
2022-08-31	1691
2022-09-01	1589
2022-09-02	1781
2022-09-03	1875
2022-09-04	1711
2022-09-05	1732
2022-09-06	1699
2022-09-07	1596
2022-09-08	1730
2022-09-09	1812
2022-09-10	2010
2022-09-11	1769
2022-09-12	1612
2022-09-13	1616
2022-09-14	1663
2022-09-15	1815
2022-09-16	1947
2022-09-17	1856
2022-09-18	2040
2022-09-19	1785
2022-09-20	1631
2022-09-21	1567
2022-09-22	1559
2022-09-23	1825
2022-09-24	1987
2022-09-25	1684
2022-09-26	1652
2022-09-27	1626
2022-09-28	1742
2022-09-29	1777
2022-09-30	1991
2022-10-01	1982
2022-10-02	2285
2022-10-03	1736
2022-10-04	1790
2022-10-05	1603
2022-10-06	1808
2022-10-07	1819
2022-10-08	1806
2022-10-09	2022
2022-10-10	1641
2022-10-11	1464
2022-10-12	1303
2022-10-13	1626
2022-10-14	1578
2022-10-15	1788
2022-10-16	1787
2022-10-17	1312
2022-10-18	1530
2022-10-19	1627
2022-10-20	1592
2022-10-21	1728
2022-10-22	2001
2022-10-23	1885
2022-10-24	1652
2022-10-25	1685
2022-10-26	1635
2022-10-27	1737
2022-10-28	1891
2022-10-29	1998
2022-10-30	2381
2022-10-31	1891
2022-11-01	2022
2022-11-02	1592
2022-11-03	1853
2022-11-04	1957
2022-11-05	1975
2022-11-06	1928
2022-11-07	1552
2022-11-08	1870
2022-11-09	1569
2022-11-10	1631
2022-11-11	1770
2022-11-12	2084
2022-11-13	1800
2022-11-14	1462
2022-11-15	2017
2022-11-16	1730
2022-11-17	1639
2022-11-18	1548
2022-11-19	1993
2022-11-20	2071
2022-11-21	1872
2022-11-22	1621
2022-11-23	1726
2022-11-24	1742
2022-11-25	1639
2022-11-26	1857
2022-11-27	1920
2022-11-28	1619
2022-11-29	1743
2022-11-30	1575
2022-12-01	1899
2022-12-02	1946
2022-12-03	2103
2022-12-04	2075
2022-12-05	1702
2022-12-06	1706
2022-12-07	1888
2022-12-08	2951
2022-12-09	1809
2022-12-10	1609
2022-12-11	1886
2022-12-12	1671
2022-12-13	1481
2022-12-14	1578
2022-12-15	1593
2022-12-16	1890
2022-12-17	2057
2022-12-18	2180
2022-12-19	1765
2022-12-20	1751
2022-12-21	1513
2022-12-22	1710
2022-12-23	1979
2022-12-24	2047
2022-12-25	3275
2022-12-26	1626
2022-12-27	1409
2022-12-28	1530
2022-12-29	1843
2022-12-30	1615
2022-12-31	1555
2023-01-01	2691
2023-01-02	1353
2023-01-03	1160
2023-01-04	1159
2023-01-05	1228
2023-01-06	1169
2023-01-07	1167
2023-01-08	1132
2023-01-09	1165
2023-01-10	1238
2023-01-11	1340
2023-01-12	1114
2023-01-13	1473
2023-01-14	1478
2023-01-15	1758
2023-01-16	1495
2023-01-17	1319
2023-01-18	1373
2023-01-19	1481
2023-01-20	1478
2023-01-21	1604
2023-01-22	1616
2023-01-23	1512
2023-01-24	1208
2023-01-25	1319
2023-01-26	1493
2023-01-27	1619
2023-01-28	1844
2023-01-29	1810
2023-01-30	1691
2023-01-31	1521
2023-02-01	1532
2023-02-02	1447
2023-02-03	1760
2023-02-04	1889
2023-02-05	1660
2023-02-06	1632
2023-02-07	1543
2023-02-08	1693
2023-02-09	1588
2023-02-10	1898
2023-02-11	1878
2023-02-12	1719
2023-02-13	1721
2023-02-14	1524
2023-02-15	1817
2023-02-16	1620
2023-02-17	2066
2023-02-18	1831
2023-02-19	1941
2023-02-20	1789
2023-02-21	1565
2023-02-22	1795
2023-02-23	1874
2023-02-24	1979
2023-02-25	1825
2023-02-26	2025
2023-02-27	1859
2023-02-28	1779
2023-03-01	1811
2023-03-02	1693
2023-03-03	1879
2023-03-04	2004
2023-03-05	1923
2023-03-06	1977
2023-03-07	1578
2023-03-08	1618
2023-03-09	1572
2023-03-10	1952
2023-03-11	1622
2023-03-12	1590
2023-03-13	1630
2023-03-14	1772
2023-03-15	1583
2023-03-16	1789
2023-03-17	1962
2023-03-18	1963
2023-03-19	2046
2023-03-20	1812
2023-03-21	2145
2023-03-22	1702
2023-03-23	1902
2023-03-24	1912
2023-03-25	1817
2023-03-26	1820
2023-03-27	1689
2023-03-28	1487
2023-03-29	1411
2023-03-30	1729
2023-03-31	1896
2023-04-01	1851
2023-04-02	2066
2023-04-03	1445
2023-04-04	1607
2023-04-05	1569
2023-04-06	1421
2023-04-07	1156
2023-04-08	1178
2023-04-09	1478
2023-04-10	1685
2023-04-11	1588
2023-04-12	1724
2023-04-13	1913
2023-04-14	2031
2023-04-15	2120
2023-04-16	1926
2023-04-17	1782
2023-04-18	1862
2023-04-19	1916
2023-04-20	1811
2023-04-21	1642
2023-04-22	1883
2023-04-23	2218
2023-04-24	1877
2023-04-25	1636
2023-04-26	1693
2023-04-27	1758
2023-04-28	1956
2023-04-29	2042
2023-04-30	2038
2023-05-01	1418
2023-05-02	1868
2023-05-03	1878
2023-05-04	1721
2023-05-05	1762
2023-05-06	1876
2023-05-07	2279
2023-05-08	1771
2023-05-09	1829
2023-05-10	1613
2023-05-11	1793
2023-05-12	2046
2023-05-13	1997
2023-05-14	2086
2023-05-15	1961
2023-05-16	1618
2023-05-17	1939
2023-05-18	2024
2023-05-19	1930
2023-05-20	2112
2023-05-21	1956
2023-05-22	1404
2023-05-23	1793
2023-05-24	1695
2023-05-25	1642
2023-05-26	1836
2023-05-27	1913
2023-05-28	2018
2023-05-29	1772
2023-05-30	1692
2023-05-31	1696
2023-06-01	1869
2023-06-02	2057
2023-06-03	2072
2023-06-04	1803
2023-06-05	1810
2023-06-06	1812
2023-06-07	1620
2023-06-08	1748
2023-06-09	1782
2023-06-10	1852
2023-06-11	1809
2023-06-12	1480
2023-06-13	1752
2023-06-14	1524
2023-06-15	1512
2023-06-16	1818
2023-06-17	1812
2023-06-18	2000
2023-06-19	1500
2023-06-20	1517
2023-06-21	1406
2023-06-22	1592
2023-06-23	1477
2023-06-24	1943
2023-06-25	2594
2023-06-26	1577
2023-06-27	1443
2023-06-28	1365
2023-06-29	1484
2023-06-30	1502
2023-07-01	1876
2023-07-02	1804
2023-07-03	1338
2023-07-04	1585
2023-07-05	1488
2023-07-06	1477
2023-07-07	1393
2023-07-08	1720
2023-07-09	1741
2023-07-10	1502
2023-07-11	1601
2023-07-12	1580
2023-07-13	1719
2023-07-14	2094
2023-07-15	1785
2023-07-16	2186
2023-07-17	1606
2023-07-18	1812
2023-07-19	1780
2023-07-20	1564
2023-07-21	1831
2023-07-22	1507
2023-07-23	1525
2023-07-24	1571
2023-07-25	1615
2023-07-26	1704
2023-07-27	1757
2023-07-28	1856
2023-07-29	1929
2023-07-30	1940
2023-07-31	1842
2023-08-01	1720
2023-08-02	1740
2023-08-03	1890
2023-08-04	1686
2023-08-05	1908
2023-08-06	1912
2023-08-07	1433
2023-08-08	1785
2023-08-09	1693
2023-08-10	1832
2023-08-11	1665
2023-08-12	1778
2023-08-13	1675
2023-08-14	1772
2023-08-15	1659
2023-08-16	1552
2023-08-17	2654
2023-08-18	1941
2023-08-19	1943
2023-08-20	1879
2023-08-21	1438
2023-08-22	1643
2023-08-23	1795
2023-08-24	1699
2023-08-25	1882
2023-08-26	2092
2023-08-27	2017
2023-08-28	1552
2023-08-29	1574
2023-08-30	1572
2023-08-31	1815
2023-09-01	2029
2023-09-02	2037
2023-09-03	1993
2023-09-04	1607
2023-09-05	1745
2023-09-06	1834
2023-09-07	1805
2023-09-08	1854
2023-09-09	1802
2023-09-10	2144
2023-09-11	2138
2023-09-12	1735
2023-09-13	2005
2023-09-14	1711
2023-09-15	1804
2023-09-16	1971
2023-09-17	2273
2023-09-18	1692
2023-09-19	1717
2023-09-20	1933
2023-09-21	1738
2023-09-22	2096
2023-09-23	2266
2023-09-24	1935
2023-09-25	1990
2023-09-26	2029
2023-09-27	1720
2023-09-28	2017
2023-09-29	2021
2023-09-30	2356
2023-10-01	1956
2023-10-02	1983
2023-10-03	1805
2023-10-04	2029
2023-10-05	1890
2023-10-06	1930
2023-10-07	1988
2023-10-08	1886
2023-10-09	1820
2023-10-10	1577
2023-10-11	1682
2023-10-12	1575
2023-10-13	1621
2023-10-14	1678
2023-10-15	1775
2023-10-16	1177
2023-10-17	1650
2023-10-18	1666
2023-10-19	1674
2023-10-20	1799
2023-10-21	1782
2023-10-22	2017
2023-10-23	1962
2023-10-24	1824
2023-10-25	1818
2023-10-26	1711
2023-10-27	1715
2023-10-28	1905
2023-10-29	1650
2023-10-30	1806
2023-10-31	1816
2023-11-01	2474
2023-11-02	1763
2023-11-03	1845
2023-11-04	1963
2023-11-05	2142
2023-11-06	1565
2023-11-07	1791
2023-11-08	1744
2023-11-09	1743
2023-11-10	1972
2023-11-11	1882
2023-11-12	1783
2023-11-13	1603
2023-11-14	1761
2023-11-15	1761
2023-11-16	1903
2023-11-17	1998
